DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FC52540D4091C8BCDFACA2B862DB7EB__C200393379B107E37E58DFD6C92F0A15FE4355E3, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=262405, Duration=0.092246, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FC52540D4091C8BCDFACA2B862DB7EB__269A71B681ADB6E01986A1B872F3E54563C58EFA, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=65797, Duration=0.029467, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_20, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FC52540D4091C8BCDFACA2B862DB7EB__A050AC7FCABD8260D7BAE868FBB77E1699305C68, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=22958, Duration=0.017345, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_D0FECEC94BB5E3DA0C23C4AB41A933FB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.15, Duration=5.795129, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_21, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_D0FECEC94BB5E3DA0C23C4AB41A933F__0192091683E28B4FA9F5BFB80F26E676346450A0, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=262405, Duration=0.077892, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_22, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_D0FECEC94BB5E3DA0C23C4AB41A933F__0FAFFDBB32ED72F358A7388C9AB6FE8088A36D2F, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=65797, Duration=0.035875, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_23, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_D0FECEC94BB5E3DA0C23C4AB41A933F__8F9DB62806B4C14D8538F690E769D615317FCDE6, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=22958, Duration=0.018712, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_584A79B6465982423406428F0D776880_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.15, Duration=6.446943, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_24, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_584A79B6465982423406428F0D776__61F5CC0CCE5D9CD95B83AA1CB53B0B5FE41AC847, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=16647, Duration=0.019312, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_25, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_584A79B6465982423406428F0D776__7E8A800BE546D16101C11CDEE1840BBEF21B464F, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=6309, Duration=0.010010, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
